,date,security,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1432,2015-10-05,NIFTY Index,8005.1,8128.9,8005.1,8119.3
1433,2015-10-06,NIFTY Index,8180.45,8180.95,8096.5,8152.9
1434,2015-10-07,NIFTY Index,8146.2,8188.9,8132.9,8177.4
1435,2015-10-08,NIFTY Index,8196.75,8196.75,8105.85,8129.35
1436,2015-10-09,NIFTY Index,8186.35,8232.2,8139.65,8189.7
1437,2015-10-12,NIFTY Index,8231.5,8244.5,8128.2,8143.6
1438,2015-10-13,NIFTY Index,8121.95,8150.25,8088.6,8131.7
1439,2015-10-14,NIFTY Index,8102.4,8139.3,8096.35,8107.9
1440,2015-10-15,NIFTY Index,8134.35,8190.55,8129.8,8179.5
1441,2015-10-16,NIFTY Index,8193.65,8246.4,8147.65,8238.15
1442,2015-10-19,NIFTY Index,8262.55,8283.05,8239.2,8275.05
1443,2015-10-20,NIFTY Index,8280.3,8294.05,8229.2,8261.65
1444,2015-10-21,NIFTY Index,8258.35,8294.4,8217.15,8251.7
1445,2015-10-23,NIFTY Index,8308.25,8328.1,8280.75,8295.45
1446,2015-10-26,NIFTY Index,8333.65,8336.3,8252.05,8260.55
1447,2015-10-27,NIFTY Index,8230.35,8241.95,8217.05,8232.9
1448,2015-10-28,NIFTY Index,8188.9,8209.1,8131.8,8171.2
1449,2015-10-29,NIFTY Index,8175.45,8179.6,8098.0,8111.75
1450,2015-10-30,NIFTY Index,8123.55,8146.1,8044.4,8065.8
1451,2015-11-02,NIFTY Index,8054.55,8060.7,7995.6,8050.8
1452,2015-11-03,NIFTY Index,8086.35,8100.35,8031.75,8060.7
1453,2015-11-04,NIFTY Index,8104.9,8116.1,8027.3,8040.2
1454,2015-11-05,NIFTY Index,8030.35,8031.2,7944.1,7955.45
1455,2015-11-06,NIFTY Index,7956.55,8002.65,7926.15,7954.3
1456,2015-11-09,NIFTY Index,7788.25,7937.75,7771.7,7915.2
1457,2015-11-10,NIFTY Index,7877.6,7885.1,7772.85,7783.35
1458,2015-11-11,NIFTY Index,7838.8,7847.95,7819.1,7825.0
1459,2015-11-13,NIFTY Index,7762.45,7775.1,7730.9,7762.25
1460,2015-11-16,NIFTY Index,7732.95,7838.85,7714.15,7806.6
1461,2015-11-17,NIFTY Index,7848.75,7860.45,7793.0,7837.55
1462,2015-11-18,NIFTY Index,7823.15,7843.4,7725.05,7731.8
1463,2015-11-19,NIFTY Index,7788.5,7854.9,7765.45,7842.75
1464,2015-11-20,NIFTY Index,7841.9,7906.95,7817.8,7856.55
1465,2015-11-23,NIFTY Index,7869.5,7877.5,7825.2,7849.25
1466,2015-11-24,NIFTY Index,7837.0,7870.35,7812.65,7831.6
1467,2015-11-26,NIFTY Index,7837.15,7897.1,7832.0,7883.8
